"X0.Fine","X0.JC","X0.RP","X0.RedBlack"
58.98,0.8848,-0.104800000000001,0
59.08,0.885800000000001,-0.105800000000001,0
59.18,0.886800000000001,-0.106800000000001,0
59.28,0.887800000000001,-0.107800000000001,0
59.38,0.8888,-0.108800000000001,0
59.48,0.889800000000001,-0.109800000000001,0
59.58,0.890800000000001,-0.110800000000001,0
59.68,0.891800000000001,-0.111800000000001,0
59.78,0.8928,-0.112800000000001,0
59.88,0.8938,-0.113800000000001,0
59.98,0.894800000000001,-0.114800000000001,0
60.08,0.895800000000001,-0.115800000000001,0
60.18,0.8968,-0.116800000000001,0
60.28,0.8978,-0.117800000000001,0
60.38,0.8988,-0.118800000000001,0
60.48,0.899800000000001,-0.119800000000001,0
60.58,0.9008,-0.120800000000001,0
60.68,0.901800000000001,-0.121800000000001,0
60.78,0.9028,-0.122800000000001,0
60.88,0.903800000000001,-0.123800000000001,0
60.98,0.9048,-0.124800000000001,0
61.08,0.905800000000001,-0.125800000000001,0
61.18,0.906800000000001,-0.126800000000001,0
61.28,0.907800000000001,-0.127800000000001,0
61.38,0.9088,-0.128800000000001,0
61.48,0.909800000000001,-0.129800000000001,0
61.58,0.910800000000001,-0.130800000000001,0
61.68,0.911800000000001,-0.131800000000001,0
61.78,0.9128,-0.132800000000001,0
61.88,0.9138,-0.133800000000001,0
61.98,0.914800000000001,-0.134800000000001,0
62.08,0.915800000000001,-0.135800000000001,0
62.18,0.916800000000001,-0.136800000000001,0
62.28,0.9178,-0.137800000000001,0
62.38,0.918800000000001,-0.138800000000001,0
62.48,0.919800000000001,-0.139800000000001,0
62.58,0.920800000000001,-0.140800000000001,0
62.68,0.921800000000001,-0.141800000000001,0
62.78,0.922800000000001,-0.142800000000001,0
62.88,0.923800000000001,-0.143800000000001,0
62.98,0.924800000000001,-0.144800000000001,0
63.08,0.925800000000001,-0.145800000000001,0
63.18,0.926800000000001,-0.146800000000001,0
63.28,0.927800000000001,-0.147800000000001,0
63.38,0.928800000000001,-0.148800000000001,0
63.48,0.929800000000001,-0.149800000000001,0
63.58,0.930800000000001,-0.150800000000001,0
63.68,0.931800000000001,-0.151800000000001,0
63.78,0.932800000000001,-0.152800000000001,0
63.88,0.9338,-0.153800000000001,0
63.98,0.934800000000001,-0.154800000000001,0
64.08,0.935800000000001,-0.155800000000001,0
64.18,0.936800000000001,-0.156800000000001,0
64.28,0.937800000000001,-0.157800000000001,0
64.38,0.938800000000001,-0.158800000000001,0
64.48,0.939800000000001,-0.159800000000001,0
64.58,0.940800000000001,-0.160800000000001,0
64.68,0.941800000000001,-0.161800000000001,0
64.78,0.942800000000001,-0.162800000000001,0
64.88,0.943800000000001,-0.163800000000001,0
64.98,0.944800000000001,-0.164800000000001,0
65.08,0.945800000000001,-0.165800000000001,0
65.18,0.946800000000001,-0.166800000000001,0
65.28,0.947800000000001,-0.167800000000001,0
65.38,0.948800000000001,-0.168800000000001,0
65.48,0.949800000000001,-0.169800000000001,0
65.58,0.950800000000001,-0.170800000000001,0
65.68,0.951800000000001,-0.171800000000001,0
65.78,0.952800000000001,-0.172800000000001,0
65.88,0.953800000000001,-0.173800000000001,0
65.98,0.954800000000001,-0.174800000000001,0
66.08,0.955800000000001,-0.175800000000001,0
66.18,0.956800000000001,-0.176800000000001,0
66.28,0.957800000000001,-0.177800000000001,0
66.38,0.958800000000001,-0.178800000000001,0
66.48,0.959800000000001,-0.179800000000001,0
66.58,0.960800000000001,-0.180800000000001,0
66.68,0.961800000000001,-0.181800000000001,0
66.78,0.962800000000001,-0.182800000000001,0
66.88,0.963800000000001,-0.183800000000001,0
66.98,0.964800000000001,-0.184800000000001,0
67.08,0.965800000000001,-0.185800000000001,0
67.18,0.966800000000001,-0.186800000000001,0
67.28,0.967800000000001,-0.187800000000001,0
67.38,0.968800000000001,-0.188800000000001,0
67.48,0.969800000000001,-0.189800000000001,0
67.58,0.970800000000001,-0.190800000000001,0
67.68,0.971800000000001,-0.191800000000001,0
67.78,0.972800000000001,-0.192800000000001,0
67.88,0.973800000000001,-0.193800000000001,0
67.98,0.974800000000001,-0.194800000000001,0
68.08,0.975800000000001,-0.195800000000001,0
68.18,0.976800000000001,-0.196800000000001,0
68.28,0.977800000000001,-0.197800000000001,0
68.38,0.978800000000001,-0.198800000000001,0
68.48,0.979800000000001,-0.199800000000001,0
68.58,0.980800000000001,-0.200800000000001,0
68.68,0.981800000000001,-0.201800000000001,0
68.78,0.982800000000001,-0.202800000000001,0
68.88,0.983800000000001,-0.203800000000001,0
68.98,0.984800000000001,-0.204800000000001,0
69.08,0.985800000000001,-0.205800000000001,0
69.18,0.986800000000001,-0.206800000000001,0
69.28,0.987800000000001,-0.207800000000001,0
69.38,0.988800000000001,-0.208800000000001,0
69.48,0.989800000000001,-0.209800000000001,0
69.58,0.990800000000001,-0.210800000000001,0
69.68,0.991800000000001,-0.211800000000001,0
69.78,0.992800000000001,-0.212800000000001,0
69.88,0.993800000000001,-0.213800000000001,0
69.98,0.994800000000001,-0.214800000000001,0
70.08,0.995800000000001,-0.215800000000001,0
70.18,0.996800000000001,-0.216800000000001,0
70.28,0.997800000000001,-0.217800000000001,0
70.38,0.998800000000001,-0.218800000000001,0
70.48,0.999800000000001,-0.219800000000001,0
70.58,1.0008,-0.220800000000001,0
70.68,1.0018,-0.221800000000001,0
70.78,1.0028,-0.222800000000001,0
70.88,1.0038,-0.223800000000001,0
70.98,1.0048,-0.224800000000001,0
71.08,1.0058,-0.225800000000001,0
71.18,1.0068,-0.226800000000001,0
71.28,1.0078,-0.227800000000001,0
71.38,1.0088,-0.228800000000001,0
71.48,1.0098,-0.229800000000001,0
71.58,1.0108,-0.230800000000001,0
71.68,1.0118,-0.231800000000001,0
71.78,1.0128,-0.232800000000001,0
71.88,1.0138,-0.233800000000001,0
71.98,1.0148,-0.234800000000001,0
72.08,1.0158,-0.235800000000001,0
72.18,1.0168,-0.236800000000001,0
72.28,1.0178,-0.237800000000001,0
72.38,1.0188,-0.238800000000001,0
72.48,1.0198,-0.239800000000001,0
72.58,1.0208,-0.240800000000001,0
72.68,1.0218,-0.241800000000001,0
72.78,1.0228,-0.242800000000001,0
72.88,1.0238,-0.243800000000001,0
72.98,1.0248,-0.244800000000001,0
73.08,1.0258,-0.245800000000001,0
73.18,1.0268,-0.246800000000001,0
73.28,1.0278,-0.247800000000001,0
73.38,1.0288,-0.248800000000001,0
73.48,1.0298,-0.249800000000001,0
73.58,1.0308,-0.250800000000001,0
73.68,1.0318,-0.251800000000001,0
73.78,1.0328,-0.252800000000001,0
73.88,1.0338,-0.253800000000001,0
73.98,1.0348,-0.254800000000001,0
74.08,1.0358,-0.255800000000001,0
74.18,1.0368,-0.256800000000001,0
74.28,1.0378,-0.257800000000001,0
74.38,1.0388,-0.258800000000001,0
74.48,1.0398,-0.259800000000001,0
74.58,1.0408,-0.260800000000001,0
74.68,1.0418,-0.261800000000001,0
74.78,1.0428,-0.262800000000001,0
74.88,1.0438,-0.263800000000001,0
74.98,1.0448,-0.264800000000001,0
75.08,1.0458,-0.265800000000001,0
75.18,1.0468,-0.266800000000001,0
75.28,1.0478,-0.267800000000001,0
75.38,1.0488,-0.268800000000001,0
75.48,1.0498,-0.269800000000001,0
75.58,1.0508,-0.270800000000001,0
75.68,1.0518,-0.271800000000001,0
75.78,1.0528,-0.272800000000001,0
75.88,1.0538,-0.273800000000001,0
75.98,1.0548,-0.274800000000001,0
76.08,1.0558,-0.275800000000001,0
76.18,1.0568,-0.276800000000001,0
76.28,1.0578,-0.277800000000001,0
76.38,1.0588,-0.278800000000001,0
76.48,1.0598,-0.279800000000001,0
76.58,1.0608,-0.280800000000001,0
76.68,1.0618,-0.281800000000001,0
76.78,1.0628,-0.282800000000001,0
76.88,1.0638,-0.283800000000001,0
76.98,1.0648,-0.284800000000001,0
77.08,1.0658,-0.285800000000001,0
77.18,1.0668,-0.286800000000001,0
77.28,1.0678,-0.287800000000001,0
77.38,1.0688,-0.288800000000001,0
77.48,1.0698,-0.289800000000001,0
77.58,1.0708,-0.290800000000001,0
